Force, Ch B, Run #1
Time ( s )	Force ( N )
0.0000	12.37
0.1000	10.92
0.2000	11.80
0.3000	12.52
0.4000	13.49
0.5000	14.61
0.6000	12.17
0.7000	8.69
0.8000	9.58
0.9000	10.01
1.0000	12.28
1.1000	10.06
1.2000	10.56
1.3000	10.27
1.4000	9.82
1.5000	9.10
1.6000	8.81
1.7000	10.55
1.8000	11.68
1.9000	12.10
2.0000	8.23
2.1000	10.22
2.2000	10.04
2.3000	10.25
2.4000	11.40
2.5000	11.30
2.6000	12.04
2.7000	10.73
2.8000	10.43
2.9000	11.44
3.0000	12.33
3.1000	13.12
3.2000	13.02
3.3000	13.93
3.4000	13.94
3.5000	14.43
3.6000	13.56
3.7000	14.29
3.8000	14.67
3.9000	14.19
4.0000	14.90
4.1000	15.28
4.2000	15.17
4.3000	15.19
4.4000	15.46
4.5000	15.46
4.6000	14.63
4.7000	14.60
4.8000	14.66
4.9000	15.13
5.0000	15.50
5.1000	15.29
5.2000	15.33
5.3000	15.28
5.4000	14.49
5.5000	14.66
5.6000	14.94
5.7000	14.87
5.8000	14.72
5.9000	14.34
6.0000	14.73
6.1000	14.60
6.2000	14.92
6.3000	15.35
6.4000	15.25
6.5000	15.20
6.6000	15.47
6.7000	15.77
6.8000	15.91
6.9000	14.07
7.0000	15.07
7.1000	14.60
7.2000	16.04
7.3000	15.13
7.4000	15.83
7.5000	14.61
7.6000	13.38
7.7000	12.77
7.8000	12.26
7.9000	14.30
8.0000	11.49
8.1000	13.62
8.2000	13.63
8.3000	14.25
8.4000	13.16
8.5000	14.17
8.6000	14.89
8.7000	15.53
8.8000	15.67
8.9000	15.98
9.0000	16.17
9.1000	16.13
9.2000	15.80
9.3000	14.90
9.4000	13.02
9.5000	15.06
9.6000	15.56
9.7000	14.85
9.8000	9.20
9.9000	13.14
10.0000	13.88
10.1000	14.81
10.2000	15.54
10.3000	15.69
10.4000	15.82
10.5000	15.77
10.6000	15.61
10.7000	15.76
10.8000	16.23
10.9000	15.83
11.0000	16.54
11.1000	16.63
11.2000	16.52
11.3000	15.69
11.4000	14.74
11.5000	15.72
11.6000	15.48
11.7000	16.13
11.8000	16.18
11.9000	15.40
12.0000	16.67
12.1000	16.32
12.2000	16.05
12.3000	16.59
12.4000	16.79
12.5000	15.19
12.6000	15.79
12.7000	16.50
12.8000	17.03
12.9000	16.06
13.0000	16.67
13.1000	16.01
13.2000	15.26
13.3000	15.72
13.4000	15.71
13.5000	15.75
13.6000	15.84
13.7000	15.62
13.8000	15.92
13.9000	14.17
14.0000	6.40
14.1000	-24.16
14.2000	-21.81
14.3000	3.80
14.4000	-18.64
14.5000	-49.84
14.6000	-49.83
14.7000	-49.83
14.8000	-49.83
14.9000	-49.83
15.0000	-49.82
15.1000	-49.82
15.2000	-49.82
15.3000	-49.83
15.4000	-49.82
15.5000	-49.81
15.6000	-49.81
15.7000	-49.82
15.8000	-49.82
15.9000	-49.81
16.0000	-49.81
16.1000	-49.81
16.2000	-49.82
16.3000	-49.81
16.4000	-49.81
16.5000	-49.81
16.6000	-49.81
16.7000	-49.81
16.8000	-49.81
16.9000	-49.81
17.0000	-49.81
17.1000	-49.80
17.2000	-49.81
17.3000	-49.81
17.4000	-49.81
17.5000	-49.80
17.6000	-49.81
17.7000	-49.81
17.8000	-49.81
17.9000	-49.81
18.0000	-49.81
18.1000	-49.81
18.2000	-49.81
18.3000	-49.81
18.4000	-49.80
